Device Setup Log,سجل إعداد الجهاز,
Device Setup Management,إدارة إعداد الجهاز,
Device Type,نوع الجهاز,
Device successfully added to user.,تمت إضافة الجهاز بنجاح إلى المستخدم.,
Disabled,معطل,
Distributor,الموزع,
District,الحي,
Documentation,التوثيق,
Domain,النطاق,
Done Installation,تمت التثبيت,
Done Installation Ready for Server Setup,تمت التثبيت وجاهز لإعداد الخادم,
Edit,تعديل,
Edit Device,تعديل الجهاز,
Email sent successfully!,تم إرسال البريد الإلكتروني بنجاح!,
Employee,موظف,
End User,المستخدم النهائي,
Ends on,ينتهي في,
English Name,الاسم الإنجليزي,
Equipment,المعدات,
Error from server {server}: {error_message},خطأ من الخادم {server}: {error_message},
Error in alert_supervisor_on_item_shortfall,خطأ في تنبيه المشرف بشأن نقص العناصر,
Existing Users Found,تم العثور على مستخدمين موجودين,
Failed to connect to the server at {server}. Please check the server IP and try again.,فشل في الاتصال بالخادم عند {server}. يرجى التحقق من عنوان IP للخادم والمحاولة مرة أخرى.,
Failed to connect to the server at {server}. Please check the server IP and try again.Server response: {error_message},فشل في الاتصال بالخادم عند {server}. يرجى التحقق من عنوان IP للخادم والمحاولة مرة أخرى.استجابة الخادم: {error_message},
Failed to create Delivery Note.,فشل في إنشاء إشعار التسليم.,
File Attached Successfully,تم إرفاق الملف بنجاح,
Filter by status,تصفية حسب الحالة,
Frappe School,مدرسة فريب,
Frappe Support,دعم فريب,
From Store,من المتجر,
Has to include license plate or chassie number,يجب أن يتضمن رقم لوحة الترخيص أو رقم الهيكل,
ICCID,ICCID,
INSTALL-,تثبيت-,
Identity Document,وثيقة الهوية,
Illegal Document Status for {0},حالة الوثيقة غير القانونية لـ {0},
Inactive,غير نشط,
Installation Date,تاريخ التثبيت,
Installation Order,طلب التثبيت,
Installation Order Item,عنصر طلب التثبيت,
Installation Order Technician,فني طلب التثبيت,
Installing,جارٍ التثبيت,
Invalid Customer ID provided.,تم توفير معرف عميل غير صالح.,
Invalid Item Status,حالة عنصر غير صالحة,
Invoice Attachments,مرفقات الفاتورة,
Is Internal,هل هو داخلي,
Is the customer contracted with another company?,هل العميل متعاقد مع شركة أخرى؟,
Item,عنصر,
Item Code,رمز العنصر,
Item Group,مجموعة العناصر,
Item Name,اسم العنصر,
Item code,رمز العنصر,
Items,العناصر,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Large,كبير,
Lead,الرصاص,
Lead Car,سيارة الرصاص,
Lead Visit,زيارة الرصاص,
License Plate,رقم لوحة الترخيص,
Location,الموقع,
Log out,تسجيل الخروج,
Login,تسجيل الدخول,
Login Name,اسم المستخدم,
Longitude,خط الطول,
Manager Discount Role,دور خصم المدير,
Max Qty,الحد الأقصى للكمية,
Message,رسالة,
Min Qty,الحد الأدنى للكمية,
Mobile,الهاتف المحمول,
Mobile No,رقم الهاتف المحمول,
Monthly,شهري,
Municipality,البلدية,
My Profile,ملفي الشخصي,
My Settings,إعداداتي,
Naming Series,سلسلة التسمية,
National Address,العنوان الوطني,
National ID,رقم الهوية الوطنية,
Neighborhood,الحي,
New Device,جهاز جديد,
Next: {0},التالي: {0},
No active sites found.,لم يتم العثور على مواقع نشطة.,
No delivery addresses found in the items.,لم يتم العثور على عناوين التسليم في العناصر.,
No items found in the selected quotation template.,لم يتم العثور على عناصر في قالب الاقتباس المحدد.,
No serials found in the file.,لم يتم العثور على أرقام تسلسلية في الملف.,
No submitted Device Setups found for this Sales Order,لم يتم العثور على إعدادات الجهاز المقدمة لهذا أمر البيع,
Not a valid Workflow Action,ليس إجراء سير عمل صالح,
Note,ملاحظة,
Notes,ملاحظات,
Notes / Reason,ملاحظات / سبب,
Number of Cars,عدد السيارات,
Number of Sessions,عدد الجلسات,
OdoMeter,عداد المسافات,
Odometer,عداد المسافات,
Offline,غير متصل,
Online,متصل,
Open,مفتوح,
Opportunity,فرصة,
PO Type,نوع أمر الشراء,
PO Types,أنواع أوامر الشراء,
Password,كلمة المرور,
Payment Request,طلب الدفع,
Pending,قيد الانتظار,
Periodicity,تكرارية,
Permission Error,خطأ في الإذن,
Pick List,قائمة الانتقاء,
Please add at least one Serial No or Batch Bundle.,يرجى إضافة رقم تسلسلي واحد على الأقل أو حزمة دفعة.,
Please add at least one item row first.,يرجى إضافة صف عنصر واحد على الأقل أولاً.,
Please input ICCID!,يرجى إدخال ICCID!,
Please input customer ID!,يرجى إدخال معرف العميل!,
Please input device type!,يرجى إدخال نوع الجهاز!,
Please input password!,يرجى إدخال كلمة المرور!,
Please input serial number!,يرجى إدخال رقم التسلسل!,
Please input username!,يرجى إدخال اسم المستخدم!,
Please input vehicle name!,يرجى إدخال اسم السيارة!,
Please input vehicle type!,يرجى إدخال نوع السيارة!,
Please save the document before uploading serials.,يرجى حفظ المستند قبل تحميل الأرقام التسلسلية.,
Please save this row first before uploading serials.,يرجى حفظ هذا الصف أولاً قبل تحميل الأرقام التسلسلية.,
Please select a server!,يرجى اختيار خادم!,
Please select a user type!,يرجى اختيار نوع المستخدم!,
Please select create date!,يرجى اختيار تاريخ الإنشاء!,
Please specify the 'Ends On' date before marking the training as Completed.,"يرجى تحديد تاريخ ""ينتهي في"" قبل وضع علامة على التدريب كمكتمل.",
Please upload a file.,يرجى تحميل ملف.,
Port,المنفذ,
Postal Code,الرمز البريدي,
Posting Date,تاريخ النشر,
Print Format,تنسيق الطباعة,
Project,المشروع,
Prospect,العميل المحتمل,
Purchase Date From,تاريخ الشراء من,
Purchase Date To,تاريخ الشراء إلى,
Purchase Invoices Attachment,مرفق فواتير الشراء,
Purchase New Asset,شراء أصل جديد,
Purchase Order,أمر الشراء,
Purchase User,مستخدم الشراء,
Qty,الكمية,
Quantity,الكمية,
Quotation,اقتباس,
Quotation Item Shortfall Alert: {0},تنبيه نقص عنصر الاقتباس: {0},
Quotation Table,جدول الاقتباس,
Quotation Template,قالب الاقتباس,
Quotation Templet Item,عنصر قالب الاقتباس,
Reason,سبب,
Recovering,استرداد,
Reference,مرجع,
Reference Doctype,مرجع Doctype,
Reference Link,رابط المرجع,
Reference Name,اسم الإشارة,
Refresh,تحديث,
Reload,تحديث,
Report an Issue,الإبلاغ عن مشكلة,
Reports To User,التقارير إلى المستخدم,
Request Type,نوع الطلب,
Request for Raw Materials,طلب المواد الخام,
Requested Quantity,الكمية المطلوبة,
Rescheduled,إعادة جدولة,
Response,استجابة,
Road,طريق,
Sales Manager,مدير المبيعات,
Sales Order,أمر البيع,
Sales User,مستخدم المبيعات,
Save,حفظ,
Schedule Setup,إعداد الجدول الزمني,
Search devices...,البحث عن الأجهزة...,
Select Server,اختر الخادم,
Select User Type,اختر نوع المستخدم,
Select a server,اختر خادماً,
Self approval is not allowed,لا يُسمح بالموافقة الذاتية,
Sent,تم الإرسال,
Sent to Server Setup Team,تم الإرسال إلى فريق إعداد الخادم,
Serial No,رقم التسلسل,
Serial No Already Exists in Table,رقم التسلسل موجود بالفعل في الجدول,
Serial Noe Item,عنصر رقم التسلسل,
Serial Number,رقم التسلسل,
Serial numbers uploaded and set for the first row.,تم تحميل الأرقام التسلسلية وتعيينها للصف الأول.,
Serial numbers uploaded and set for this row.,تم تحميل الأرقام التسلسلية وتعيينها لهذا الصف.,
Server,الخادم,
Server IP,عنوان IP للخادم,
Session,الجلسة,
Session Defaults,الجلسة الافتراضية,
Session Type,نوع الجلسة,
Set as Lost,تعيين كخسارة,
Show Location,إظهار الموقع,
Site,الموقع,
Small,صغير,
Start Date,تاريخ البدء,
Start Training,بدء التدريب,
Starts on,يبدأ في,
State,الدولة,
Stations,المحطات,
Status,الحالة,
Status update cancelled,تم إلغاء تحديث الحالة,
Sub Installation Order Technician,فني أمر التثبيت الفرعي,
Subject,الموضوع,
Suburb,الضاحية,
Supervisor Discount,خصم المشرف,
Supervisor Discount Role,دور خصم المشرف,
Supplier Quotation Mandatory,اقتباس المورد إلزامي,
Suspended,معلق,
System Manager,مدير النظام,
TST Selling Settings,إعدادات بيع TST,
Tanks,الخزانات,
Tax Certificate,شهادة الضريبة,
Tax ID,رقم التعريف الضريبي,
Technician,فني,
Technician Location,موقع الفني,
Technician Name,اسم الفني,
Technician is required for the Installation Order.,الفني مطلوب لأمر التثبيت.,
Templet Name,اسم القالب,
The city to which the district belongs.,المدينة التي ينتمي إليها الحي.,
The number of Serial No  entries exceeds the total quantity in Sales Order.,عدد إدخالات رقم التسلسل يتجاوز الكمية الإجمالية في أمر البيع.,
The phone number that will receive the message.,رقم الهاتف الذي سيتلقى الرسالة.,
This device is already processed,تمت معالجة هذا الجهاز بالفعل.,
Time,الوقت,
Toggle Full Width,تبديل العرض الكامل,
Toggle Theme,تبديل السمة,
Trainer,المدرب,
Trainer Name,اسم المدرب,
Training,التدريب,
Training Schedule,جدول التدريب,
Training Session,جلسة التدريب,
Training Session Logs,سجلات جلسة التدريب,
Trainings already exist for all Device Setups,توجد تدريبات بالفعل لجميع إعدادات الأجهزة,
Tst,تست,
Type,النوع,
UOM,وحدة القياس,
Unable to fetch Arabic address. Please check the logs for more details.,غير قادر على جلب العنوان العربي. يرجى التحقق من السجلات للحصول على مزيد من التفاصيل.,
Unscheduled Session,جلسة غير مجدولة,
Update,تحديث,
Update Items,تحديث العناصر,
Updated,تم التحديث,
Updating Status...,جارٍ تحديث الحالة...,
Upload,رفع,
Upload Serial Numbers,رفع أرقام التسلسل,
Upload Serials,رفع الأرقام التسلسلية,
Use This User,استخدام هذا المستخدم,
User,مستخدم,
User Discount,خصم المستخدم,
User Discount Role,دور خصم المستخدم,
User Forum,منتدى المستخدم,
User ID,معرف المستخدم,
User Type,نوع المستخدم,
User created successfully.,تم إنشاء المستخدم بنجاح.,
UserLogin,تسجيل دخول المستخدم,
Username,اسم المستخدم,
Vehicle,المركبة,
Vehicle Name,اسم المركبة,
Vehicle Type,نوع المركبة,
View Website,مشاهدة الموقع,
Visit Date,تاريخ الزيارة,
Visit Type,نوع الزيارة,
Warehouse,المستودع,
Warehouses,المستودعات,
Weekly,أسبوعي,
WhatsApp Message,رسالة واتساب,
WhatsApp Number,رقم واتساب,
Work Order,أمر العمل,
Yes,نعم,
You are not allowed to approve this document. Please contact your manager. User to approve: {0},لا يُسمح لك بالموافقة على هذا المستند. يرجى الاتصال بمديرك. المستخدم للموافقة: {0},
You can only upload serials in Draft.,يمكنك فقط رفع الأرقام التسلسلية في المسودة.,
address,العنوان,
all,الكل,
attachments,المرفقات,
lat,خط العرض,
latitude,خط العرض,
long,خط الطول,
setup-device-page,إعداد صفحة الجهاز,
